,long_lat,population,geo,Long,Lat
1,"(-104.997, 39.746)",841,True,-104.997,39.746
5,"(-104.996, 39.745)",512,True,-104.996,39.745
8,"(-104.999, 39.756)",404,True,-104.999,39.756
9,"(-105.003, 39.756)",389,True,-105.003,39.756
11,"(-104.989, 39.696)",376,True,-104.989,39.696
12,"(-104.982, 39.747)",353,True,-104.982,39.747
13,"(-104.983, 39.747)",349,True,-104.983,39.747
16,"(-104.989, 39.757)",334,True,-104.989,39.757
18,"(-104.991, 39.736)",309,True,-104.991,39.736
20,"(-104.997, 39.76)",303,True,-104.997,39.76
22,"(-104.996, 39.734)",295,True,-104.996,39.734
24,"(-104.938, 39.68)",285,True,-104.938,39.68
27,"(-104.995, 39.752)",274,True,-104.995,39.752
29,"(-104.961, 39.683)",268,True,-104.961,39.683
30,"(-104.987, 39.744)",266,True,-104.987,39.744
31,"(-104.995, 39.734)",265,True,-104.995,39.734
33,"(-104.996, 39.738)",264,True,-104.996,39.738
37,"(-104.996, 39.735)",257,True,-104.996,39.735
40,"(-104.984, 39.747)",253,True,-104.984,39.747
41,"(-105.017, 39.753)",245,True,-105.017,39.753
42,"(-105.041, 39.742)",243,True,-105.041,39.742
43,"(-104.943, 39.71)",242,True,-104.943,39.71
44,"(-104.917, 39.655)",234,True,-104.917,39.655
49,"(-104.997, 39.75)",225,True,-104.997,39.75
50,"(-104.992, 39.732)",224,True,-104.992,39.732
51,"(-104.984, 39.746)",222,True,-104.984,39.746
59,"(-104.983, 39.735)",217,True,-104.983,39.735
60,"(-105.041, 39.743)",217,True,-105.041,39.743
62,"(-104.992, 39.749)",212,True,-104.992,39.749
63,"(-104.987, 39.73)",212,True,-104.987,39.73
64,"(-105.034, 39.769)",209,True,-105.034,39.769
65,"(-104.949, 39.718)",208,True,-104.949,39.718
66,"(-104.989, 39.759)",206,True,-104.989,39.759
67,"(-105.014, 39.757)",206,True,-105.014,39.757
70,"(-104.994, 39.736)",204,True,-104.994,39.736
72,"(-104.984, 39.725)",202,True,-104.984,39.725
75,"(-104.998, 39.749)",199,True,-104.998,39.749
76,"(-105.007, 39.761)",198,True,-105.007,39.761
78,"(-104.994, 39.712)",196,True,-104.994,39.712
79,"(-104.996, 39.751)",194,True,-104.996,39.751
81,"(-104.983, 39.727)",194,True,-104.983,39.727
88,"(-105.02, 39.747)",184,True,-105.02,39.747
93,"(-104.959, 39.672)",181,True,-104.959,39.672
96,"(-105.028, 39.74)",178,True,-105.028,39.74
107,"(-105.042, 39.743)",161,True,-105.042,39.743
108,"(-105.002, 39.75)",159,True,-105.002,39.75
109,"(-105.021, 39.757)",159,True,-105.021,39.757
110,"(-105.016, 39.76)",158,True,-105.016,39.76
120,"(-104.983, 39.722)",153,True,-104.983,39.722
121,"(-104.991, 39.731)",152,True,-104.991,39.731
122,"(-105.009, 39.76)",151,True,-105.009,39.76
124,"(-104.983, 39.736)",150,True,-104.983,39.736
127,"(-104.993, 39.75)",147,True,-104.993,39.75
128,"(-104.96, 39.744)",147,True,-104.96,39.744
130,"(-104.983, 39.75)",146,True,-104.983,39.75
138,"(-104.993, 39.748)",142,True,-104.993,39.748
139,"(-105.009, 39.761)",141,True,-105.009,39.761
140,"(-104.992, 39.746)",141,True,-104.992,39.746
143,"(-105.001, 39.749)",139,True,-105.001,39.749
145,"(-104.993, 39.745)",139,True,-104.993,39.745
149,"(-104.971, 39.743)",136,True,-104.971,39.743
152,"(-104.94, 39.677)",136,True,-104.94,39.677
153,"(-104.984, 39.762)",135,True,-104.984,39.762
156,"(-104.989, 39.744)",135,True,-104.989,39.744
158,"(-104.996, 39.758)",134,True,-104.996,39.758
159,"(-104.944, 39.711)",132,True,-104.944,39.711
163,"(-105.005, 39.733)",128,True,-105.005,39.733
164,"(-104.983, 39.768)",127,True,-104.983,39.768
169,"(-104.949, 39.717)",127,True,-104.949,39.717
175,"(-104.992, 39.752)",124,True,-104.992,39.752
178,"(-105.052, 39.74)",124,True,-105.052,39.74
179,"(-104.997, 39.737)",123,True,-104.997,39.737
183,"(-105.017, 39.756)",122,True,-105.017,39.756
184,"(-104.987, 39.748)",122,True,-104.987,39.748
185,"(-104.985, 39.733)",121,True,-104.985,39.733
187,"(-104.992, 39.734)",121,True,-104.992,39.734
188,"(-105.033, 39.769)",120,True,-105.033,39.769
190,"(-105.015, 39.758)",119,True,-105.015,39.758
195,"(-104.985, 39.727)",116,True,-104.985,39.727
196,"(-105.004, 39.733)",115,True,-105.004,39.733
197,"(-104.929, 39.668)",115,True,-104.929,39.668
198,"(-105.01, 39.759)",115,True,-105.01,39.759
199,"(-104.983, 39.731)",115,True,-104.983,39.731
